STATION_ZONE,STATION_DIV,STATION_CODE,STATION_NAME,amenities1,amenities2,ALL_AMENITIES,TOTAL_AMENITIES
NR,UMB,BSPN,BASSI PATHANAN,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SB,BSP,BSPR,BISHRAMPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,CKP,BSPX,BANSPANI,[],"['AC Lounge', 'Wheelchair Access(6)']","['AC Lounge', 'Wheelchair Access(6)']",2
WR,BCT,BSR,VASAI ROAD,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NW,JU,BSRL,BESROLI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,UBL,BSRX,BASAVANA BAGEVADI RO,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
WC,KOTA,BSSL,BASSI BERISAL,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
NE,LJN,BST,BASTI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
EO,KUR,BSTP,BASANTAPUR,[],[],[],0
SC,HYB,BSX,BASAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NC,JHS,BSZ,BHARWA-SUMERPUR,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
EC,DNR,BTA,BIHTA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,NAG,BTC,BALAGHAT JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BVP,BTD,BOTAD JN.,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
WC,KOTA,BTE,BHARATPUR,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NR,MB,BTG,BASHARATGANJ,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
EC,SPJ,BTH,BETTIAH,['Drinking Water'],"['AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']",4
NR,UMB,BTI,BATHINDA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NR,UMB,BTIC,BATHINDA CANTT.,[],['AC Lounge'],['AC Lounge'],1
KR,KAWR,BTJL,BHATKAL,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,BSB,BTK,BANKATA,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
NC,JHS,BTKP,BHARAT KUP,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,MB,BTO,BHITAURA,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
NR,LKO,BTP,BABATPUR,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SE,KGP,BTQ,BETNOTI PH,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
SE,KGP,BTS,BASTA,[],['Wheelchair Access(9)'],['Wheelchair Access(9)'],1
NC,AGRA,BTSR,BHUTESHWAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NE,BSB,BTT,BHATNI JN.,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
SC,BZA,BTTR,BITRAGUNTA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,DLI,BTU,BARAUT,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
EO,KUR,BTV,BAITARNI ROAD,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
CR,SUR,BTW,BARSI TOWN,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NC,JHS,BTX,BELA TAL,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,SDAH,BTY,BETHUADAHARI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,BU,BASWA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SB,BSP,BUA,BARADWAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,BUB,BISSAU,[],"['AC Lounge', 'Wheelchair Access(3)']","['AC Lounge', 'Wheelchair Access(3)']",2
WC,KOTA,BUDI,BUNDI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EO,SBP,BUDM,BADMAL,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
EC,SPJ,BUG,BAGAHA,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
NW,BKN,BUGL,BUGLANWALI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SB,BSP,BUH,BURHAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,BSB,BUI,BALLIA,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
ER,MLDT,BUP,BARIARPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,ADRA,BURN,BURNPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NC,JHS,BUS,BADAUSA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,JU,BUT,BAYTU,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
WC,JBP,BUU,BHADANPUR,[],[],[],0
NE,LJN,BUW,BURHWAL JN.,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
CR,NGP,BUX,BHANDAK,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,LJN,BV,BABHNAN,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,KGP,BVA,BAURIA JN.,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,BVP,BVC,BHAVNAGAR TERMINUS,['Drinking Water'],"['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",5
NR,DLI,BVH,BALLABGARH,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BCT,BVI,BORIVALI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SC,BZA,BVL,BIKKAVOLU,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NE,LJN,BVN,BISWAN,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
WR,BVP,BVP,BHAVANAGAR PARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,PUNE,BVQ,BHILAVADI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,BVRM,BHIMAVARAM JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,BVRT,BHIMAVARAM TOWN,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Wheelchair Access(10)', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Wheelchair Access(10)', 'Sanitary Product']",8
NF,RNY,BVU,BALIPARA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,BKN,BWC,BANWALI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,LKO,BWI,BILWAI,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
EO,SBP,BWIP,BHAWANIPATNA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,BKN,BWK,BAWANI KHERA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,JP,BWL,BAWAL,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
WC,KOTA,BWM,BHAWANI MANDI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
ER,HWH,BWN,BARDDHAMAN,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SE,KGP,BWO,BURAMARA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NC,JHS,BWR,BARWA SAGAR,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
NR,DLI,BWSN,BIJWASAN,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,SBC,BWT,BANGARAPET JN.,[],"['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",4
NR,UMB,BXC,BARWALA,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
NF,LMG,BXG,BHANGA,[],['AC Lounge'],['AC Lounge'],1
NF,LMG,BXJ,BOKAJAN,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,BXK,BANDARKHAL,[],['AC Lounge'],['AC Lounge'],1
WC,KOTA,BXN,BAYANA JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,BXP,BARPATHAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EC,DNR,BXR,BUXAR,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NF,APDJ,BXT,BAMANHAT,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,NGP,BXY,BORDHAI,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
SW,UBL,BYC,BALLARI CANTT.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,MYS,BYD,BYADGI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,R,BYL,BELHA,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
KR,KAWR,BYNR,BYNDOOR (H),['Drinking Water'],"['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",5
SW,SBC,BYPL,BAIYYAPPANAHALLI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,BCT,BYR,BHAYANDAR,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SB,R,BYT,BHATAPARA,['Drinking Water'],"['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",5
SC,BZA,BZA,VIJAYAWADA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NR,FZR,BZG,BILGA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,HWH,BZLE,BAZARSAU,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SE,KGP,BZN,BAGNAN,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
NR,DLI,BZO,BARSOLA,[],[],[],0
CR,NGP,BZU,BETUL,"['Waiting Room', 'Drinking Water']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",4
NC,JHS,BZY,BASAI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EC,SPJ,CAA,CHAKIA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,BPL,CAER,CHHANERA,[],['Wheelchair Access(9)'],['Wheelchair Access(9)'],1
SB,NAG,CAF,CHANDA FORT,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
WC,KOTA,CAG,CHHABRA GUGOR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EC,SPJ,CAI,CHANPATIA,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SR,PGT,CAN,KANNUR,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
EC,SPJ,CAO,CHAURADANO,[],[],[],0
EO,KUR,CAP,CHATRAPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,TVC,CAPE,KANNIYAKUMARI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",9
NC,PRYJ,CAR,CHUNAR JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,ADI,CASA,CHHANSARA,[],[],[],0
SR,SA,CBE,COIMBATORE JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
SR,SA,CBF,COIMBATORE NORTH JN.,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
EC,DHN,CBH,CHAUBE,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,MB,CBJ,CLUTTERBUCKGANJ,[],[],[],0
WC,BPL,CBK,CHACHAURA-BINAGANJ,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
SC,GNT,CBM,CUMBUM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,BSB,CBN,CHIT BARAGAON,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SE,CKP,CBSA,CHAIBASA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,TPJ,CBU,CHINNABABUSAMUDRAM,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NF,LMG,CBZ,CHURAIBARI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NE,BSB,CC,CHAURI CHAURA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,GTL,CCA,CHIGICHERLA,[],[],[],0
CR,PUNE,CCH,CHINCHVAD,"['Waiting Room', 'Drinking Water']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",4
SC,GTL,CCI,CHINNEKUNTAPALLI,[],[],[],0
SC,BZA,CCT,KAKINADA TOWN,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']",9
CR,NGP,CD,CHANDRAPUR (MAHARASH,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
EC,DHN,CDB,CHAUDHURIBANDH,[],[],[],0
NR,UMB,CDG,CHANDIGARH,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
SE,ADRA,CDGR,CHANDRAKONA ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
ER,SDAH,CDH,CHAKDAHA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TPJ,CDM,CHIDAMBARAM,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
EC,DDU,CDMR,CHANDAULI MAJHWAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,GTL,CGI,CHANDRAGIRI,[],[],[],0
SR,MAS,CGL,CHENGALPATTU JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NC,JHS,CGN,CHIRGAON,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,HWH,CGR,CHANDAN NAGAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,RNY,CGS,CHANGSARI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TVC,CGY,CHANGANASERI,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
NR,MB,CH,CHANDAUSI JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,UMB,CHA,CHAWAPAIL,[],[],[],0
SB,BSP,CHD,CHANDIA ROAD.,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
SB,BSP,CHDX,CHHADA P.H.,[],[],[],0
EO,WAT,CHE,SRIKAKULAM ROAD,"['Waiting Room', 'Drinking Water', 'Food Stalls']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",8
NR,LKO,CHH,CHAUKHANDI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
KR,RN,CHI,CHIPLUN,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NC,AGRA,CHJ,CHATA,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
SW,MYS,CHKE,CHALLAKERE,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
WR,BCT,CHLK,CHAVALKHEDE,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,BCT,CHM,CHALTHAN,[],['Wheelchair Access(8)'],['Wheelchair Access(8)'],1
NW,JP,CHNN,CHANNANI,[],[],[],0
WR,ADI,CHP,CHHAPI,[],"['AC Lounge', 'Wheelchair Access(5)']","['AC Lounge', 'Wheelchair Access(5)']",2
NE,BSB,CHR,CHILKAHAR,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SB,BSP,CHRM,CHIRMIRI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,SA,CHSM,CHINNA SALEM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,NAG,CHUA,CHOURARI,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SR,PGT,CHV,CHARVATTUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,SC,CHZ,CHARLAPALLI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NE,BSB,CI,CHHAPRA KACHEHRI,[],"['AC Lounge', 'Wheelchair Access(6)']","['AC Lounge', 'Wheelchair Access(6)']",2
NR,LKO,CIL,CHILBILA JN.,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,GNT,CIV,CHINNARAVURU,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
SR,MAS,CJ,KANCHIPURAM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,CJM,CHINNA GANJAM,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SE,ADRA,CJN,CHHATNA,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
EO,WAT,CJS,CHARAMULA KUSUMI,[],[],[],0
NW,JP,CKB,CHOUTH-KA-BARWARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,UBL,CKBK,CHIKKABENAKAL,[],[],[],0
NW,BKN,CKD,CHARKHI DADRI,[],['Wheelchair Access(8)'],['Wheelchair Access(8)'],1
SR,TVC,CKI,CHALAKUDI,[],"['Wheelchair Access(10)', 'Sanitary Product']","['Wheelchair Access(10)', 'Sanitary Product']",2
WC,BPL,CKKD,CHARKHERA KHURD,[],['AC Lounge'],['AC Lounge'],1
SE,CKP,CKP,CHAKARADHARPUR,['Drinking Water'],"['AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']",4
SW,UBL,CKR,CHIKODI ROAD,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
NW,JP,CKS,CHAKSU,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NC,JHS,CKTD,CHITRAKUTDHAM KARWI,"['Waiting Room', 'Drinking Water', 'Food Stalls']","['AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']",6
SE,KGP,CKU,CHAKULIA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,SC,CKX,CHAKUR,[],[],[],0
NF,APDJ,CLD,CHALSA,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
EO,KUR,CLDR,CHILIKDARA,[],['AC Lounge'],['AC Lounge'],1
WR,ADI,CLDY,CHANDLODIYA,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
